test_id	verdict	target	host_skip	evidence
test_agent_message_skill.py::AgentMessageSkillTest::test_roled_parent_and_broadcast_forms	D	D-SKILL-SURFACE	-	python skill package packages/coding-agent/skills/agent-message; clj has no skill layer (sci/init has 12 bindings, none of them a skill wrapper); host verb itself reachable via host-request
test_agent_message_skill.py::AgentMessageSkillTest::test_roled_selector_validation	D	D-SKILL-SURFACE	-	python skill package packages/coding-agent/skills/agent-message; clj has no skill layer (sci/init has 12 bindings, none of them a skill wrapper); host verb itself reachable via host-request
test_bash.py::BashTest::test_await_returns_result	b	H4.2	-	the observable is the same one row H4.2 already holds: run a command, get its exit code and output back (process-test/start-poll-tail-follow-one-command). The await surface is the python vehicle; nothing separate is owed
test_bash.py::BashTest::test_status_pipe_survives_high_fds_and_strict_posix_shell	a	-	-	python status-pipe/socket plumbing (select FD_SETSIZE boundary, wake pipe, reporter race). clj rlm.process polls a Java Process, so the mechanism has no counterpart
test_bash.py::BashTest::test_backgrounded_tail_and_kill	row	H4.3	-	clj process-test/kill-terminates-the-process-tree. fragment: (is (= 2 (count kids))) then process-kill yields (is (true? (:killed after))) and every descendant (is (gone? kid))
test_bash.py::BashTest::test_kill_escalates_to_sigkill	c	-	-	"STAYS (c): clj kill-terminates-the-process-tree pins that the tree dies, NOT that TERM escalates to KILL. NEXT names this as leftover ""H4 (c) SIGKILL orphan"""
test_bash.py::BashTest::test_buffer_cap_keeps_head_and_tail	c	-	-	STAYS (c): clj captured-output-is-bounded pins truncation, byte count and TAIL line bounds, but nothing pins that the HEAD is retained. Promoting on the tail alone would claim the head half too (row H4.4 takes the tail assertions)
test_bash.py::BashTest::test_env_prefix_and_journal	D	D-ORPHAN-JOURNAL	-	SPLIT: env-prefix half is symmetric (clj rlm.process passes env through) and owes its own row; journal half is the card. Recorded under the card so the hole is not silent
test_bash.py::BashTest::test_await_returns_when_shell_backgrounds_child	row	H4.5	-	clj process-test/group-kill-reclaims-a-child-that-outlived-its-leader, the FIRST half. fragment: the leader reaches (is (= :exited (:status snap))) with exit-code 0 while (is (alive? orphan)) -- the call comes back even though the shell backgrounded a child
test_bash.py::BashTest::test_early_shell_exit_returns_and_kills_group	row	H4.6	-	"clj process-test/group-kill-reclaims-a-child-that-outlived-its-leader, the SECOND half -- a different assertion from H4.5. fragment: after the leader is gone, (process-kill h) gives (is (gone? orphan) ""group kill must reclaim it""), which the descendants sweep alone cannot do"
test_bash.py::BashTest::test_term_ignoring_child_is_escalated	c	-	-	STAYS (c): same escalation contract as test_kill_escalates_to_sigkill, different scenario. No clj assertion exercises a TERM-ignoring child
test_bash.py::BashTest::test_delivered_status_wins_when_shell_dies_during_drain	c	-	-	STAYS (c): the closing observable is public (result.exit_code == 0), but the contract is a status-pipe race that this arm has no vehicle for -- and unlike the raw-fd case, NO row pins that absence. Absent vehicle plus no row that holds it means debt, not (b)
test_bash.py::BashTest::test_delivered_status_wins_when_reporter_is_slow	a	-	-	python status-pipe/socket plumbing (select FD_SETSIZE boundary, wake pipe, reporter race). clj rlm.process polls a Java Process, so the mechanism has no counterpart
test_bash.py::BashTest::test_status_survives_pipe_fds_above_fd_setsize	a	-	cannot raise RLIMIT_NOFILE above FD_SETSIZE	python status-pipe/socket plumbing (select FD_SETSIZE boundary, wake pipe, reporter race). clj rlm.process polls a Java Process, so the mechanism has no counterpart
test_bash.py::BashTest::test_awaits_do_not_hold_executor_threads	a	-	-	asyncio executor-thread accounting; clj has no await surface (capability-test/future-is-closed-hop2-not-security)
test_bash.py::BashTest::test_buffer_tail_retention_is_exact	row	H4.4	-	clj process-test/captured-output-is-bounded, the tail assertions -- a DIFFERENT fragment from the truncation flag. fragment: (is (= 50 (count (str/split-lines (process-tail h))))) and (is (= 5 (count (str/split-lines (process-tail h 5)))))
test_bash.py::BashTest::test_running_reflects_group_liveness	c	-	-	STAYS (c) and it is a DIVERGENCE, not just an untested contract: the oracle keeps `running` true while any group member lives. clj group-kill-reclaims-a-child-that-outlived-its-leader shows the opposite -- the leader reports :exited while (is (alive? orphan)) still holds. This arm reports the LEADER, not the group
test_bash.py::BashTest::test_windows_kill_terminates_tree	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
test_bash.py::BashTest::test_gate_eof_without_journal_prevents_command_execution	D	D-ORPHAN-JOURNAL	POSIX-only gate	orphan process journal, gated by PRIME_AGENT_INTERNAL_ORPHAN_PROCESS_JOURNAL (bash.py _record_journal). clj reads exactly two env vars and has no journal: measured, no journal symbol in prime-agent-runtime-clj/src
test_bash.py::BashTest::test_status_socket_closed_when_wake_pipe_fails	a	-	POSIX-only fds	python status-pipe/socket plumbing (select FD_SETSIZE boundary, wake pipe, reporter race). clj rlm.process polls a Java Process, so the mechanism has no counterpart
test_bash.py::BashTest::test_windows_process_start_id	a	-	-	Windows containment path (_IS_POSIX patched False, job objects, taskkill). Simulated on Linux, so it runs here, but the subject is the Windows host
