kind	id	issue_comment_url	status	one_line	trigger_type	trigger_note	kill_bucket	decision_url
row	H1.1a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	PASS	default = clojure	-	-	-	-
row	H1.1b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	green/no-kill	explicit PRIME_AGENT_KERNEL_RUNTIME=python still selects the oracle	-	-	A	-
row	H1.2	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	PASS	ready gate: protocol number plus runtime.language = clojure	-	-	-	-
row	H1.3a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	green/no-kill	"NARROWED after review: the STATIC WIRE contract -- the host puts exactly twelve named (fn? verb) forms on the wire in a single execute, with no python token -- repl-kernel-clojure-runtime/""bootstraps clojure forms and never mints a state-op frame"". The fake runtime does not EVALUATE that code, so this row does NOT show the twelve are functions in a live native workspace; that claim needs its own receipt. Strong kill within the narrowed scope"	-	-	A	-
row	H1.3b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	PASS	state-op-off: host mints no list_names/snapshot/restore frame for clojure	-	-	-	-
row	H1.3c	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5476884340	green/no-kill	startup fails when the clojure workspace lacks its public bindings	-	-	A	-
row	H1.4a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490224434	green/no-kill	every protocol line stays one complete JSON object while a cell writes stdout and rlm.process/pump! is alive on a raw Thread -- framing-test/every-protocol-line-is-one-complete-json-object	-	-	A	-
row	H1.4b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5490224434	green/no-valid-mutant	shutdown frames stay whole while a live child is reclaimed -- framing-test/shutdown-frames-stay-whole-while-a-live-child-is-reclaimed. NARROWED after review: the actor is rlm.repl/serve calling process/kill-all! BEFORE it writes done, not the rlm-process-cleanup hook, whose docstring calls itself last resort for the abnormal exit path. The hook could be deleted and this row would stay green. LIMITATION: the hook's own tear surface (a raw Thread reached only by an abnormal exit) still has no green row | DEMOTED A->C (sol): the fault is inert. The actor here is the serve MAIN thread, which runs inside -main's *out*->stderr binding, so a println in kill-all! goes to stderr and the row stays green. The raw-thread property belongs to the abnormal-exit hook, and this row already records that it does not exercise that hook. What this green guarantees: frames stay whole while a live child is reclaimed on the NORMAL shutdown path; the hook's own tear surface is untested	-	-	C	-
row	H1.5a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	green/no-valid-mutant	an unknown-id host_reply is dropped and the next cell still serves -- host-bridge-test/host-reply-unknown-id-dropped. BUCKET C (moved from A, sol 4th audit): the mutant is inert. Making resolve-host-reply! throw on an unknown id is caught by start-reader!'s inner catch and comes back as a ProtocolError event, and the test only checks that the NEXT execute answers 16 -- it never asserts the absence of an error event. What this green guarantees: an unknown-id reply does not stop the runtime serving; whether it is silently DROPPED is unknown	-	-	C	-
row	H1.5b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	green/no-kill	shutdown fails every pending host request and the process still exits 0	-	-	A	-
row	H1.6	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	green/no-kill	a non-string interrupt id is a protocol error and the runtime keeps serving -- repl-test/interrupt-with-non-string-id-is-a-protocol-error. SCOPE: malformed id only; a well-formed interrupt is D-INTERRUPT and row H1.8	-	-	A	-
row	H4.1a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	green/no-kill	a relative PRIME_AGENT_BASH_SHELL override is refused and the workspace still serves -- process-test/a-relative-bash-shell-override-is-refused. kill mode: MODE-2 (corrected; an earlier note said mode-1 (env), which confused a fixture the test owns with a fault seam reachable from outside -- the test hardcodes the override and harness/start writes it into the child env)	-	-	A	-
row	H4.1b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489802290	green/no-kill	an absolute override is honoured and the announced shell is the one that ran -- process-test/an-absolute-bash-shell-override-is-honoured. kill mode: MODE-2. CORRECTED twice: first mislabelled mode-1 (env), then mislabelled mode-1 again via the PATH lever -- but reddening it by planting a fake sh only works BECAUSE the implementation honoured the override, so it swaps a dependency rather than breaking the contract. No valid mode-1 seam exists on this arm. STRENGTHENED 2026-09-01: the shell announces itself, so a runtime that ignores the override cannot produce the marker -- strong kill, not weak	-	-	A	-
row	H1.7a	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	green/no-valid-mutant	declared divergence, batch timing: every stdout event sits before its cell done and none rides into the next cell -- framing-test/no-output-event-arrives-after-its-cell-is-done. Ordering, not count (println-newlines-stay-in-one-stdout-event owns count). Negative-contract row, never a supported-coverage PASS (Hard Rule 3) | BUCKET C: no validated mutant -- eval-cell flushes before returning, so ordering has no single causal expression: eval-cell flushes before returning, so ordering has no single causal expression. Excluded from the fault count until one is named	-	-	C	-
row	H1.7b	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	green/no-valid-mutant	declared divergence, no out-of-cell writer: capability-test/future-is-closed-hop2-not-security -- negative-contract row, never a supported-coverage PASS (Hard Rule 3)	-	-	C	-
row	H1.7c	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489938033	green/no-valid-mutant	declared divergence, no raw-fd or stream-object path out of a cell: capability-test/java-and-io-paths-are-closed -- negative-contract row, never a supported-coverage PASS (Hard Rule 3)	-	-	C	-
row	H1.8	https://github.com/junghan0611/prime-agent/issues/1#issuecomment-5489978742	negative-contract	negative contract: an id-bearing control request never vanishes without a trace -- a non-string id is a protocol error, a well-formed interrupt naming live work is refused with InterruptNotSupported, one with nothing to cancel stays silent (83857b71, three named tests in repl_test.clj). Earns no parity credit: refusing is not cancelling	-	-	-	-
